job name,company name,workarea,salary,update time
数据库工程师,上海积成慧集信息技术有限公司,上海,120元/天,2021-03-24 09:50:53
校招-数据分析挖掘工程师（1wxq）(J12563),北京东方国信科技股份有限公司,北京,3-5千/月,2021-03-23 14:00:01
软件工程师,北京北交信通科技有限公司,北京-昌平区,0.8-1.5万/月,2021-03-23 12:37:17
Intern-Data Analyst,佐敦涂料（中国）,上海,125元/天,2021-03-23 09:56:13
数据分析师Data Analyst,高沃信息技术（上海）有限公司,上海-黄浦区,1.5-2万/月,2021-03-23 04:01:33
Stata数据分析师,上海链牍科技有限公司,上海-静安区,300元/天,2021-03-22 10:00:11
地图数据编辑，标注,心海仁立（北京）信息技术有限公司,北京-昌平区,4.5-6千/月,2021-03-22 09:15:52
推荐算法工程师-产品技术中心 (MJ006730),搜狐视频,北京-海淀区,1.5-3万/月,2021-03-20 16:00:01
数据专员,上海极兔供应链有限公司,上海-浦东新区,5.5-7千/月,2021-03-19 13:54:13
大数据工程师,金光纸业（中国）投资有限公司（APP）,上海-虹口区,10-15万/年,2021-03-19 11:52:38
数据分析师-实习生,北京兴长信达科技发展有限公司,上海-黄浦区,6-8千/月,2021-03-18 14:10:01
"数据分析实习生（BI方向,可留用）",上海松佰牙科器械有限公司,上海-杨浦区,140元/天,2021-03-18 09:06:04
咨询部分析师（应届硕士）,京北方信息技术股份有限公司,北京-海淀区,1.5千以下/月,2021-03-17 17:04:40
数据实习生,优矩互动（北京）科技有限公司,北京-朝阳区,3-4.5千/月,2021-03-17 11:09:09
大数据开发工程师（应届）,上海建工电子商务有限公司,上海,,2021-03-16 10:00:01
2021届应届生（物联网工程/人工智能）,上海森松制药设备工程有限公司,上海,0.8-1万/月,2021-03-15 16:03:29
业务数据分析师,上海荣太文化传播有限公司,上海-普陀区,0.8-1万/月,2021-03-15 13:00:01
IT,上海青浦赵巷建筑工程有限公司,上海-青浦区,6-8千/月,2021-03-13 09:00:01
智库研究中心研究助理-数据分析方向,社会科学文献出版社,北京-西城区,6-8千/月,2021-03-12 10:00:01
数据分析师,弘衍信息科技（上海）有限公司,上海-闵行区,120元/天,2021-03-11 10:58:36
校招-数据分析师（技术平台）,一起教育科技,北京-朝阳区,1-2万/月,2021-03-10 19:15:40
（校招）数据分析师,杭州东信北邮信息技术有限公司,北京,0.5-1万/月,2021-03-10 16:18:35
2021应届生-数据分析工程师,昆仑数智科技有限责任公司,北京-昌平区,0.6-1.2万/月,2021-03-09 04:01:24
数据分析师,西屋环境电器（江苏）有限公司,上海-嘉定区,6-8千/月,2021-03-08 16:53:27
数据分析工程师——油田应届生,昆仑数智科技有限责任公司,北京-石景山区,1-1.5万/月,2021-03-07 04:01:33
机器学习开发,北京国双科技有限公司,北京,20-40万/年,2021-03-06 16:00:01
数字化解决方案实习生,艺康（中国）投资有限公司,上海,150元/天,2021-03-06 16:00:01
大数据营销管理岗,深圳平安综合金融服务有限公司（平安金服）,上海-浦东新区,1-1.5万/月,2021-03-06 07:00:52
算法工程师（2021届）,好大夫在线,北京-朝阳区,3-5万/月,2021-03-04 04:01:36
材料检测工程师助理（偏数据分析）,欧陆埃文思材料科技（上海）有限公司,上海-闵行区,0.8-1万/月,2021-03-02 10:01:23
数据分析师,长城基金管理有限公司,异地招聘,0.8-1万/月,2021-03-01 14:19:37
数据分析师,长城基金管理有限公司,异地招聘,0.8-1万/月,2021-03-01 14:19:32
数据分析工程师 (MJ001301),神州数码信息服务股份有限公司,北京,1-1.5万/月,2021-03-01 07:07:53
数据分析实习生（社区用户服务团队） (MJ000599),虎扑,上海,230元/天,2021-02-26 10:34:23
